ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12331123,JE188237,04/03/2021 12:33:00 PM,069XX S LAFLIN ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,734,7,16.0,67.0,05,1167536.0,1858631.0,2021,04/10/2021 03:41:27 PM,41.767629931,-87.661464102,"(41.767629931, -87.661464102)"
13302916,JG535166,11/28/2023 03:45:00 AM,084XX S KARLOV AVE,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,RESIDENCE,False,True,834,8,18.0,70.0,04B,1150539.0,1848380.0,2023,12/12/2023 03:58:14 PM,41.739846885,-87.72403233,"(41.739846885, -87.72403233)"
13335625,JH112484,01/11/2024 03:40:00 PM,042XX W BARRY AVE,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,False,False,2523,25,31.0,20.0,07,1147110.0,1920266.0,2024,12/21/2024 03:40:46 PM,41.937177792,-87.734760421,"(41.937177792, -87.734760421)"
13279504,JG506033,07/25/2023 01:40:00 PM,023XX N MILWAUKEE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,1414,14,1.0,22.0,11,1156701.0,1915644.0,2023,11/18/2023 03:39:49 PM,41.924305513,-87.699637394,"(41.924305513, -87.699637394)"
11987667,JD159656,02/21/2020 10:30:00 AM,033XX W FLOURNOY ST,0560,ASSAULT,SIMPLE,SIDEWALK,False,True,1134,11,24.0,27.0,08A,1154242.0,1896836.0,2020,02/28/2020 03:41:24 PM,41.87274411,-87.709175599,"(41.87274411, -87.709175599)"
12048944,JD230272,05/11/2020 09:30:00 PM,004XX E 50TH PL,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,223,2,3.0,38.0,14,1179982.0,1871628.0,2020,05/19/2020 03:40:10 PM,41.803019099,-87.615446536,"(41.803019099, -87.615446536)"
13775689,JJ181834,03/14/2025 11:09:00 PM,054XX W WASHINGTON BLVD,0460,BATTERY,SIMPLE,STREET,False,False,1522,15,29.0,25.0,08B,1139805.0,1900211.0,2025,05/17/2025 03:40:52 PM,41.882281393,-87.76209864,"(41.882281393, -87.76209864)"
12150919,JD350065,08/30/2020 01:00:00 AM,132XX S AVENUE O,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,True,True,433,4,10.0,55.0,08B,1201081.0,1817765.0,2020,09/06/2020 03:42:29 PM,41.654705401,-87.539889378,"(41.654705401, -87.539889378)"
12302633,JE153784,02/27/2021 08:30:00 AM,007XX E 43RD ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,214,2,4.0,38.0,08B,1181994.0,1876665.0,2021,09/07/2021 03:41:02 PM,41.816794675,-87.607911756,"(41.816794675, -87.607911756)"
12962880,JG128464,01/24/2023 11:00:00 PM,077XX N ASHLAND AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2422,24,49.0,1.0,07,1164297.0,1951204.0,2023,08/19/2023 03:40:26 PM,42.021726063,-87.670715935,"(42.021726063, -87.670715935)"
13173106,JG379513,08/12/2023 03:00:00 AM,039XX W AUGUSTA BLVD,0330,ROBBERY,AGGRAVATED,STREET,False,False,1112,11,37.0,23.0,03,1149765.0,1906384.0,2023,08/19/2023 03:41:54 PM,41.899033013,-87.725364487,"(41.899033013, -87.725364487)"
12838610,JF409818,09/25/2022 08:40:00 AM,034XX W POLK ST,0810,THEFT,OVER $500,STREET,False,False,1133,11,24.0,27.0,06,1153581.0,1896158.0,2022,01/03/2023 03:40:27 PM,41.870896768,-87.711620477,"(41.870896768, -87.711620477)"
13083358,JG273009,05/23/2023 02:00:00 PM,034XX W 62ND ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,823,8,14.0,66.0,07,1154488.0,1863298.0,2023,08/19/2023 03:40:26 PM,41.780706632,-87.709166999,"(41.780706632, -87.709166999)"
12596211,JF117498,01/19/2022 05:00:00 AM,067XX S CHAPPEL AVE,0560,ASSAULT,SIMPLE,APARTMENT,False,True,331,3,5.0,43.0,08A,1191038.0,1860705.0,2022,01/03/2023 03:40:27 PM,41.77278508,-87.575252959,"(41.77278508, -87.575252959)"
13309462,JG543089,12/15/2023 07:00:00 PM,005XX E 33RD PL,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,211,2,4.0,35.0,14,1180708.0,1882808.0,2023,12/23/2023 03:40:49 PM,41.83368122,-87.612439993,"(41.83368122, -87.612439993)"
12037544,JD217268,04/25/2020 09:00:00 AM,048XX W BELDEN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2522,25,31.0,19.0,07,1143801.0,1914862.0,2020,05/02/2020 03:41:59 PM,41.922411442,-87.747057446,"(41.922411442, -87.747057446)"
12171146,JD373595,09/19/2020 07:30:00 PM,003XX E LOWER WACKER DR,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,114,1,42.0,32.0,07,1178608.0,1902460.0,2020,09/26/2020 03:40:42 PM,41.887655627,-87.619545777,"(41.887655627, -87.619545777)"
